Title,Framework,Hook Score,Why
"11 Hacks to Make Your Cakes Look Professional","","+1120","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience want their cakes to look professional and they want hacks to do it."
"The GENIUS Reason Why F1 Steering Looks BROKEN","","+426","Curiosity – There’s contrast between “genius reason” and “looks broken”, which builds curiosity and interest."
"6 SECRET SEWING TOOLS YOU DID’NT KNOW YOU NEEDED!","","+440","Curiosity – This title makes you feel like you’re getting in on a secret. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience loves learning about sewing tools."
"10 BIG NFL Names Whose Teammates Are SICK Of Them","","+453","Negativity – There’s lots of drama in this title, and people love drama. Authority – “Big NFL Names” grabs your attention more than just “NFL Names”. (Plus it builds curiosity by leaving it open-ended, so you want to know who these players are.) List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity."
"I Tested EVERY Colored Pencil in the WORLD!","","+492","Desire – This creator’s audience is into colored pencils. Credibility – This title makes you feel like this video is legit, so you’re more likely to watch it. Epic – Testing every colored pencil “in the WORLD!” makes this video feel epic."
"VOLUMIZING HAIR PRODUCTS FOR FINE THIN and THINNING HAIR *before and after*","","+444","Pain Point – This title calls out “thin and thinning hair”, and if you’re struggling with that, you’re pretty likely to click. Desire – This creator’s audience is into volumizing hair products."
"Riding Japan’s $120 Completely Private First Class Bus | Tokyo – Osaka","","+515","Desire – This creator’s audience is into private first-class travel. Plus, “$120” in the title makes it feel more tangible."
"Lifesteal Finally Unbanned This…","","+731","Timely – “Finally Unbanned” makes this video feel like breaking news, and people love breaking news. Curiosity – This title opens a loop by saying Lifesteal unbanned “this”, but not specifying what “this” is. Negativity – The word “unbanned” feels controversial."
"How I’d Start a YouTube Channel in 2023","","+1068","Timeliness – Starting a YouTube channel in 2023 is on many people’s minds right now, so this title rides that wave. Beginners – This is about “starting” a channel, not scaling a channel. It caters to beginners, which are the biggest, hungriest subset of any audience. Desire – This creator’s audience would love to start a YouTube channel in 2023."
"How to Build Muscle At Any Age (7 TIPS!)","","+655","Desire – This creator’s audience wants to build muscle, especially as they get older. Refute Objection – This is all about refuting the objection of, “I’m too old to build muscle.” List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity."
"The Creepiest Historic Hauntings In The British Isles | Historic Hauntings | Absolute History","","+903","Timely – This was published the day before Halloween when everybody was thinking about scary and creepy things. Curiosity – Taking things to the extreme (“The Creepiest” ) builds curiosity because it’s unique. Negativity – This is all about fear and scary things, which grab your attention."
"Shark Released Their Hair Styler… OMG!","","+910","Curiosity – “…OMG!” opens a loop because it’s vague, but makes you want to know what she thought about the hair styler. Timeliness – This feels like news (people love news) because it’s about a newly-released product."
"Forget the Oven, This is How I Make a Prime Rib Now","","+3200","Negativity – This title is about moving away from the old way of doing things. Curiosity – “This is How I Make a Prime Rib Now” builds curiosity by opening a loop. It’s a cliff-hanger and makes you wonder how he makes prime rib now. Desire – This creator’s audience would love to make prime rib that looks like the one in the thumbnail."
"My Airbnb Lost Money… Here’s The Truth About Being an Airbnb Host","","+472","Negativity – People love seeing negativity, plus this is a fear many people in real estate have. Curiosity – This builds curiosity three ways: 1) It opens a loop with “The Truth About”. 2) “The Truth About” also makes you feel like you’re getting in on a secret. 3) Many people think real estate is a great business model that you can easily make money in, so this is counterintuitive to what they think."
"The World’s Quickest Cars: Lucid Air Sapphire v Bugatti Chiron v Tesla Plaid – Cammisa’s Drag Race","","+533","Curiosity – Taking things to the extreme (“world’s quickest cars”) builds curiosity because it’s unique. X vs. Y – People love competition and want to see how things compare against each other."
"Japanese Minimalist: 6 Habits that help me stay minimal","","+583","Habits – People love habits because they’re tangible and we can envision easily plugging them into our day. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to stay minimal."
"8 Work From Home Jobs That Are Always Hiring! (Without College)","","+893","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience is looking for work from home jobs. Refute Objection – Someone might see this and think, “I can’t get a job without a college degree.” But “(Without College)” at the end gets rid of that excuse."
"5 Things You Should NEVER Tell Coworkers","","+820","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – What you should never tell your coworkers makes for a more spicy and interesting video than one about what’s ok to tell your coworkers."
"This Food is WORSE than Sugar on a Keto (Low Carb) Diet","","+881","Curiosity – This title builds curiosity three ways: 1) It opens a loop by telling you this food is worse than sugar, but not telling you what it is. 2) It makes you feel like you’re getting in on a secret because you assume sugar is the worst thing for you on a keto diet. 3) It’s also counterintuitive because of this. Negativity – Talking about foods that are bad for you gets your audience’s attention more than talking about foods that are good for you."
"These Home Cameras are NOT Private!","","+1004","Negativity – This title picks at a very strong fear in our culture right now."
"Asking Strangers Their Thoughts On Christianity","","+1012","Curiosity – This style of video is going crazy on YouTube right now because it makes you want to know what these strangers said. Credibility – There’s an element of credibility to this style of video because it’s not the creator’s opinion — it’s what real people think or have experienced."
"The Dumbbell Only 1 Person Could Lift","","+435","Curiosity – This title sounds a little too crazy… a dumbbell only 1 person could lift? But it’s also just believable enough that you have to click to see what’s going on. Plus, it’s open ended. Who’s the 1 person? How much does the dumbbell weigh? These questions make you want to click even more. Constraint – “Only 1 Person Could Lift” adds a constraint, which makes for a much more interesting story."
"10 Amazing DIY Christmas Gifts People ACTUALLY Want! (2022)","","+436","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Timeliness – Lots of people are thinking about Christmas right now and this title rides that wave. Desire – This creator’s audience would love to give Christmas gifts that people actually want."
"WHY THEY ARE PICKING FIGHTS WITH YOU!","","+622","Negativity – This title and thumbnail are all about addressing a big pain point the audience has."
"4 Social Security Changes That Will Have a BIG IMPACT in 2023","","+1665","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – This title builds curiosity two different ways: it talks about change and the future. Both are unknown and open-ended, so you have to click to learn more. Timeliness – Since it’s near the end of the year, people are looking forward to 2023."
"Towing with my Ford Lightning EV Pickup was a TOTAL DISASTER!","","+367","Negativity – People love drama and this title about a total disaster promises the video will have lots of drama. Timeliness – Ford Lightning EV Pickups are new and everybody is interested in what they can do."
"Harvard negotiator explains how to argue | Dan Shapiro","","+553","Authority – This channel borrows the credibility from this Harvard negotiator to get people to click."
"14 BANNED GADGETS YOU STILL CAN BUY ON AMAZON","","+592","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – “Banned” gadgets make this video so much cooler than just regular gadgets. Curiosity – It’s counterintuitive that can still buy these “banned” gadgets, which builds curiosity and makes you want to click."
"I saw my boss do these 10 things in Excel!","","+2682","Authority – “My Boss” adds a little extra credibility here. Curiosity – This title opens a loop (and builds curiosity) by telling you about “these 10 things in Excel” but not telling you what they are. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity."
"The Secret Weapon That Got Me $17,000 in VA Disability Benefits","","+1200","Curiosity – “The Secret Weapon” builds curiosity by making you wonder what it is. Desire – This creator’s audience would love to get $17,000 in VA disability benefits."
"You’re Probably Taking your Vitamin D Wrong, and it Could be Dangerous (& Ineffective)","","+1352","Negativity – This title gets the audience’s attention by giving them a warning."
"5 MYTHS about Bicycle Traveling / Bikepacking vs. Reality // Tips & Tricks // Cycling the World","","+1555","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – “Myths” add a lot of curiosity because they’re things you think are true but aren’t, so you want to know what the truth is. *Note: I think this title is too long and if I was using this framework, I’d only model the first part."
"4 ONE-MINUTE Habits That Save Me 20+ Hours a Week | Time Management For Busy People","","+14160","List – Lists make videos feel more tangible and they add some curiosity. Time Frame – Time frames also make videos feel more tangible and “one-minute habits” is a great example of this. Desire – This creator’s audience loves to save time. Specific Audience – This title calls out a specific audience with “Time Management For Busy People”."
"7 RED FLAGS You’re Dealing With An Emotionally BROKEN MAN…","","+329","List – Lists make videos feel more tangible and add a little bit of curiosity. Negativity – Red flags and the fear of dealing with “an emotionally broken man” grabs the audience’s attention."
"4 Things NOT to Say to Your Therapist","","+583","List – Lists make videos feel more tangible and add a little bit of curiosity. Negativity – We’re biologically wired to listen to warnings, and this title leverages that."
"20 Greatest Discontinued Foods of All Time","","+702","Curiosity – There’s contrast between “greatest” and “discontinued” and it’s counterintuitive… why would a great food be discontinued? The contrast and counterintuitive both build curiosity. List – Lists make videos feel more tangible and add a little bit of curiosity."
"Affordable PREFAB HOMES I Had No Idea Existed!","","+1178","Curiosity – “I had no idea existed” is a fun way to build curiosity around a subject because it feels like you and the audience are getting in on a secret together. Desire – This creator’s audience is into affordable prefab homes."
"You’re Not Lazy: How to Live a Chaotically Organised Life","","+424","Negativity – This title starts out by refuting a self-doubt. Desire – Everyone in this creator’s audience would love to live an organised life. Curiosity – “Chaotically Organised” are opposites, which builds curiosity."
"This “Adult Only” Cruise Was The Worst Cruise I’ve Ever Taken | Virgin Voyages","","+662","Negativity – People love hearing about drama. Extreme – The “Worst Cruise I’ve Ever Taken” makes for a much better story than just a really bad cruise."
"Buddy Valastro Was Never The Same After Cake Boss","","+1086","Curiosity – “Was Never The Same” opens up a loop and makes you wonder what happened to Buddy."
"Stop Standing HERE in Doubles! (why you’re losing)","","+1231","Curiosity – Many tennis players think it’s good to stand at the spot shown in the thumbnail, so it’s counterintuitive for the creator to say stop standing there. Negativity – Telling your audience to stop doing something common is a great way to get their attention."
"The ONLY 3 Stretches You Need for Better Flexibility","","+610","Desire – This is all about a big desire for her audience. List – Lists make videos feel more tangible and add a little bit of curiosity."
"The FED Just Gave a Serious Warning To All Americans With DEBT","","+647","Curiosity – This title builds curiosity by starting a story, but not finishing it. You can’t help but wonder what warning the Fed gave after reading this title. Negativity – We’re genetically wired to listen to warnings, and this creator uses that to his advantage in this title. Timeliness – The word “Just” makes this title feel like news, and, in general, we’re more interested in news than education. Authority – “The FED” brings credibility to this video. Specific Audience – If you’re an American with debt (which is a ton of people), then you’re way more likely to watch this video because it feels like this was made just for you."
"MIND-BLOWING VINYL HACKS THAT WILL CHANGE THE GAME!","","+670","Curiosity – “Mind-Blowing” hacks is a fun (although maybe extreme) way to build curiosity. Desire – This channel’s audience would love vinyl hacks."
"My Simple Productivity System (for normal people)!","","+675","Desire – This creator’s audience loves simple productivity systems. Specific Audience – By calling out normal people in the title, all us normal people feel like this video was made for us. It also kinda refutes an objection. People might think, “these hacks won’t work for me,” but by ending the title with “(for normal people)”, it gets rid of that excuse."
"Namibia: A Side Of Africa The Media Won’t Show You","","+332","Curiosity – This makes you feel like you’re getting in on a secret. Negativity – This title has an “anti-establishment” or “sticking it to the man” feel to it."
"Top 10 CSS One Liners That Will Blow Your Mind","","+469","List – Lists make videos feel more tangible and add curiosity. Curiosity – There’s contrast between “one liners” (sounds simple) and “will blow your mind” (sounds incredible). Desire – This channel’s audience would love some amazing CSS one liners."
"The Video Credit Card Companies Don’t Want You to See","","+530","Curiosity – This builds curiosity by revealing a secret. Negativity – Like the Namibia example above, this gives a big “anti-establishment” vibe."
"How To Not Look Frumpy & Older Than You Are-Get Out of That Rut!!","","+1750","Negativity – This video is all about avoiding an unwanted outcome."
"6 Uncomfortable Retirement “Truths” You Need to Hear…","","+466","List – Lists make videos feel more tangible and add some curiosity. Negativity – “Uncomfortable Truths” are way more interesting than, say, “Happy Truths”. Curiosity – This title makes you wonder what these “uncomfortable truths” are, so you have to watch."
"World’s Steepest Climb Vs World’s Best Climber: Can He Defeat It?","","+797","Extreme – Extreme things, like world’s steepest climb and best climber, make for an interesting story. X vs. Y – Everybody loves a little competition and they have to click to see what happened."
"Where Else To Self-Publish Books That’s NOT Amazon KDP – Self-Publish Low Content Books","","+874","Refute an objection – This channel’s audience might think their only option to self-publish books is Amazon KDP, so they’re interested to hear other options. Curiosity – A simple way to build curiosity is to tell your audience about what something is not, so they have to click and find out what it is."
"Food Sticking to Stainless Steel Pans? 4 Common Mistakes to Avoid","","+18966","Negativity – This title starts with a pain point and then talks about mistakes to avoid. List – Lists make videos feel more tangible and add some curiosity."
"24 HOURS IN THE CHEAPEST ALL-INCLUSIVE RESORT IN MEXICO (Playa Del Carmen)","","+393","Time Frame – People love time frames because they make a video feel more tangible — you know exactly what to expect and that makes you more excited to click on it. Extreme – The “Cheapest All-Inclusive” is much cooler than “A Cheap All-Inclusive” Desire – Even though it’s the cheapest one, this video is still about an all-inclusive resort, which is something this audience loves."
"How The YouTube Algorithm Works in 2022","","+555","Timeliness – Since the algorithm is always changing, adding “2022” at the end of the title lets the audience know this is relevant right now. Desire – YouTubers are obsessed with the algorithm."
"7 Dividend Stocks That Pay Me $500+ Per Month","","+752","List – Lists make a video feel more tangible and add some curiosity. Desire – This creator’s audience loves dividend stocks and loves to get paid every month."
"FIX LOWER BACK. BEFORE IT’S IRREVERSIBLE","","+1729","Negativity – This title is all about a pain point and a warning to go along with it."
"The Sudden Rise of UGC","","+422","Timeliness – This is about a current trend and it feels like news. People love news. New opportunity – UGC is a new opportunity for people trying to make money online (this creator’s audience). People love new opportunities because they haven’t failed at the new thing yet, so it offers hope. Negativity – This thumbnail sparks fear in the audience."
"If Only I Knew This About FASTING 5 Years Ago","","+540","Negativity – This is about a regret that this creator has. Curiosity – “If only I knew this…” builds curiosity by opening a loop. What did he wish he knew?!"
"How to Wake up Before 6am Everyday","","+595","Desire – The specific desire of “Wake up Before 6am” is much better than just, “Wake up Early.” Daily – People love things they can plug into their daily routine."
"from BROKE to ABUNDANCE mindset | *how this changed my life*","","+891","Transformation – From a bad state to a positive state promises a good story and is exactly what the audience wants. Curiosity – This builds curiosity a few ways. First, the “how this changed my life” part adds curiosity by opening a loop. Plus “changed my life” adds curiosity because it’s vague and open to interpretation. And finally, there’s contrast between “broke” and “abundance”."
"My HONEST Opinion After 1 Month in the Philippines","","+541","Time frame – This time frame gives his video credibility because he’s been there an entire month, as opposed to some people who’ve traveled there for just a few days. Curiosity – It might just be me, but the way he uses “HONEST” makes you feel like you’re getting insider information here."
"I SURVIVED 50 HOURS W/ LIVER KING…","","+554","Authority – Liver King’s name and picture makes a ton of people click. Negativity – “Survived” adds to the feeling that you’re about to watch an intense video with some tough adventures. Time Frame – The time frame of 50 hours makes this video feel more tangible and interesting."
"How to LOOK RICH and WEALTHY! Simple tips and tricks to achieve that sophisticated, polished look!","","+602","Desire – This creator really nailed down what their audience wants. “How to LOOK RICH and WEALTHY!” is way more specific than just, “How to Look Pretty.” Plus, people love simple tips and tricks."
"I Quit Teaching & Here’s What I Learned","","+702","Negativity – Quitting something good is a great way to get people’s attention. Curiosity – “Here’s What I Learned” opens a loop and makes you want to find out what she learned. Milestone – Your audience will love hearing about big milestones, like quitting a job."
"17 hours in SINGAPORE CHANGI AIRPORT","","+350","Time Frame – People love time frames because they make videos feel more tangible. You can envision exactly how the video will go, which makes you more likely to click. (Note: just because you can envision how the video will go doesn’t mean you can envision what will happen. There’s still curiosity there that makes you want to watch.) These next two click triggers are theories, and I may be stretching it a bit… Curiosity – This video is counterintuitive. Nobody willingly spends 17 hours in an airport — why would you do that? This makes people click. Negativity – There’s fear here: nobody wants to spend 17 hours in an airport. This also makes you click."
"The Car Loan Bubble Just Popped (HUGE Recession Indicator)","","+593","Timeliness – The word “just” makes this video feel like news, and people love news. Negativity – This video is all about scary events: recessions and popping bubbles. Curiosity – Talking about the future builds curiosity, and this title ends by talking about the future."
"6 Reasons Your Photos are not SHARP","","+1055","List – Lists make a video feel more tangible and add some curiosity. Negativity – If you’re a photographer, you definitely don’t want your photos to look “not SHARP.” This creator does a great job at grabbing her audience’s attention by calling out a specific pain point."
"2 Products I Sell Every Christmas To EXPLODE My Etsy Store Sales (Holiday Print on Demand)","","+1345","List – Lists make a video feel more tangible and add some curiosity. Desire – Everyone in this creator’s audience would love to explode their Etsy store sales. Timeliness – Christmas is just around the corner and Etsy store owners are looking to prep for it."
"3 Feminine Habits Men Find WILDLY Attractive (Make His Heart RACE with Naturally Seductive Behavior)","","+637","Curiosity – There’s contrast between “feminine” and “men” which builds curiosity and makes you do a double take. List – Lists make videos more tangible and add some curiosity. Desire – Women would love to know what these habits are that men find attractive."
"Van Camping in a Heat Wave 111°F","","+1123","Extreme – 111°F increases the stakes in this videos, which makes for a more interesting story. Negativity – People love watching videos about scary things, like camping in a dangerous heatwave."
"I Bought 96 Stocks, Then Did Nothing for 816 Days…","","+1083","Curiosity – This title opens a loop because you want to know what happens after the 816 days. Also, the thumbnail opens a loop, too, by saying, “I Didn’t Expect This…” but not specifying what “this” is. Time Frame – Time frames make videos feel more tangible, which makes them more interesting."
"This NEW Approach to Photography Will Change Your Career FOREVER!","","+2718","New opportunity – People love new opportunities because they offer hope. Curiosity – “Change your career forever” is open-ended, so it opens a loop and builds curiosity."
"Why Germans Don’t Buy Houses | Feli from Germany","","+359","Curiosity – Buying a house is a normal, innocent behavior, so it doesn’t make sense why an entire group of people wouldn’t buy a house."
"3 Bad Habits Every Poor Man Should Give Up","","+531","List – Lists make a video feel more tangible and add some curiosity. Negativity – There’s a little bit of fear here that makes you want to click and find out if you have these bad habits. Specific Audience – By calling out poor men specifically in the title, it makes poor men more likely to click."
"Engineer Builds GREATEST Ambulance Conversion EVER!","","+547","Extreme – Here’s another example of how taking it to the extreme makes for a fun video."
"Best 7 Work From Home Companies Currently Hiring | Remote Jobs Worldwide","","+757","List – Lists make a video feel more tangible and add some curiosity. Urgency – Since this video is about companies currently hiring, there’s a bit of urgency to click now. Desire – This creator’s audience is looking for jobs at remote companies."
"6 BIG Purchases Retirees (Almost) Always Regret!","","+770","List – Lists make videos feel more tangible and they add some curiosity. Negativity – Our culture is obsessed with regrets, so that word catches people’s attention and gets them to click. Specific Audience – By calling out retirees specifically in the title, retirees are way more likely to click."
"Raised Garden Beds Are So Yesterday!","","+1012","Negativity – If you currently have a raised garden bed, you probably have a little FOMO because you’re doing something that’s no longer the best. Curiosity – If raised garden beds are so yesterday, what’s the best trend to follow today?"
"Eating The World’s Best Pizza in ITALY","","+1061","Epic – “The world’s best pizza” is so much cooler than “really good pizza”. Desire – The title and thumbnail are simple, but work great together to get you hungry and wanting to see more of this pizza."
"Building My Dream Tiny Home For Under $8000","","+14338","Desire – This creator’s audience would love to build their dream tiny home. Constraint – The fact that he built his dream tiny home for such a small amount of money makes for a great and intriguing story."
"82hrs on Amtrak’s MOST SCENIC TRAIN! – The California Zephyr","","+909","Extreme – “Most Scenic Train” is much more interesting than “One of Amtrak’s Most Scenic Trains.” Time Frame – The “82hrs” makes this video feel more tangible and gives it credibility because it’s not just a walkthrough tour — they spent a long time on the train."
"Top 10 Poorest Counties in the US. (Poverty=Cheap Real Estate)","","+912","List – Lists make videos feel tangible and add some curiosity. Negativity – People are drawn to negative lists, like this one. When you look at this channel you see some of their highest-viewed videos are negative lists, like “10 Countries People Hate To Visit” and “Nevada’s Worst Rural Towns”. Desire – At the very end they slip in a benefit for real estate folks: “Poverty=Cheap Real Estate”"
"7 Things Plant Experts Do That You Probably Don’t","","+3589","List – Lists make videos feel tangible and add some curiosity. Authority – “Plant Experts” gives this video credibility. Curiosity – This feels like you’re getting some insider information, which builds curiosity. Negativity – “That You Probably Don’t” adds some FOMO to this title."
"Index Fund Investing Could Change Forever","","+3412","Curiosity – “Could Change Forever” builds curiosity two ways. First, it opens a loop and makes you wonder, “What will change? How will it change?” And second, it’s about the future, and people are inherently curious about the future. Negativity – The thumbnail is full of fear — the word, “worried,” and the creator with a worried expression — both of which help to grab your attention."
"What a Recession Could Mean For The Commercial Real Estate Market","","+380","Curiosity – This title builds curiosity two ways. First, it opens a loop by not answering what a recession could mean in the title, so you have to click and find out. And second, it’s talking about the future. The future is obviously unknown, so it builds curiosity. Negativity – Negative events, like recessions, get a lot of attention and clicks. Timeliness – Everybody is talking about a recession right now and this creator uses that to his advantage by riding that wave."
"How I Routinely Study With a Full Time Job when I’m TIRED","","+397","Constraint – Studying with the constraint of a full time job makes this video way more interesting. It introduces conflict, and conflict makes for a good story. Plus, many people in this creator’s audience are struggling with trying to study with a full time job, so they relate to this title. Refute objection – “With a full time job” and “when I’m tired” are both objections that people may have when they’re trying to study. When you get rid of people’s excuses in your title, they have no excuse to not watch your video."
"Why Shopping Carts Have Holes + 15 Things You Never Thought About","","+642","Curiosity – This title makes you feel like you’re getting in on a weird secret, and the “things you never thought about” enhances that feeling."
"How a Church Uses Mandalorian Tech | RED KOMODO and Unreal Engine Setup","","+772","Curiosity – The contrast between “church” (which feels non-techie) and “Mandalorian tech” (which feels futuristic) builds a ton of curiosity. Authority – “Mandalorian Tech” is an amazing way to describe tech. And it’s authoritative because, well, we’re talking about The Mandalorian."
"Do NOT Shut Down Your Computer! (here’s why)","","+916","Negativity – This title is a warning for you to not shut down your computer. Curiosity – Shutting down your computer feels like an innocent thing to do, so this title builds curiosity because it doesn’t really make sense. It’s counterintuitive."
"German Neighborhoods are ILLEGAL IN AMERICA | Zoning & NIMBY-ism","","+993","Negativity – “Illegal” catches your eye and makes this video more interesting. Curiosity – Like the title above, this builds curiosity because it’s a drama-filled title about a seemingly innocent thing."
"Things I Never Pack Travel 2022","","+1870","Negativity – This is about things she never packs, not things she packs. We’re drawn to warnings like this. Timeliness – Slapping the current year on the end of the title is a great way to tell your audience that this video is relevant right now."
"12 digital products that can make AT LEAST $10k/month","","+2030","Desire – Everybody in this creator’s audience would love to have a product that earns $10K/month. List – Lists build curiosity and make a video feel more tangible."
"How Long Are We Going To Be In A Bear Market?","","+361","Curiosity – This title builds curiosity by asking a question. Negativity – This title uses negativity because it’s talking about a negative subject — bear markets. Timeliness – Since we’re currently in a bear market, this title joins the conversation in everyone’s mind."
"10 Simple Exercises To Improve Your Running","","+388","List – Lists add curiosity and make videos feel more tangible. Desire – Every runner wants to improve their running, and they’d also love to do it with simple exercises. Time Frame – The thumbnail includes a short, 10-minute time frame, which makes improving your running feel more achievable."
"5 THINGS ORGANIZED PEOPLE DO (That You Don’t )","","+410","Authority – Organized people have credibility here and this creator’s audience would love to be more like them. List – Lists add curiosity and make videos feel more tangible. Negativity – Finishing this title with “(That You Don’t)” gives you a little fomo. Curiosity – The thumbnail builds curiosity by opening up a loop."
"How to Instantly Make Anyone Respect You","","+727","Desire – Not only is this video about something this audience wants (respect), but it also promises to help them get it instantly."
"Most Underrated Pieces of Backpacking Equipment: Inexpensive Gear That Makes a Difference","","+340","Curiosity – There’s contrast (which adds curiosity) between “inexpensive gear” that “makes a difference.” And “underrated” adds to the curiosity, too. Desire – This creator’s audience loves good gear."
"this is the EASIEST way to find your style (no shopping required!)","","+358","Desire – This creator’s audience would love to find their style and do it the easiest way. Refute an Objection – The audience might be thinking they don’t have time or money to go shopping, but this title gets rid of that excuse."
"3-MUST DO-Daily Strength Exercises For Seniors","","+705","List – Lists build curiosity and make a video feel more tangible. Desire – This creator’s audience is looking for strength exercises to help them stay active. Daily Tips – People seem to really like exercises or habits you can plug into your daily routine. Specific Audience – If you’re a senior and you see this title, you feel like this video was made specifically for you, so you’re more likely to click."
"15 Websites That Will Pay You DAILY Within 24 Hours (Easy Work At Home Jobs)","","+710","Desire – This creator’s audience would love to make money daily and get an easy work at home job. List – Lists build curiosity and make a video feel more tangible. Time Frame – The time frame in this title refutes an objection. Many websites take a while to pay you, but this promises to tell you about websites that pay within 24 hours. Daily Tips – Another title with a daily benefit here."
"START Fishing A KEITECH Like This (Don’t FALL Behind)","","+377","Curiosity – “Like This” opens a loop and makes you wonder how to fish a keitech. Negativity – The “don’t fall behind” part at the end adds a warning."
"Just Permitted 56 Acres to make $50,000/month","","+411","Desire – This creator’s audience would love to make $50,000/month. Timeliness – Starting out with “Just” makes you feel like this video is about a new thing that just happened. It’s kinda mixing news and education together."
"Where does the POWER in the GOLF SWING Come From???","","+469","Curiosity – The title builds curiosity by asking a question. This audience may assume the answer is legs, but the thumbnail adds to the curiosity by showing a guy sitting down and not using his legs. Desire – Most golfers would love to have more power in their swing."
"BROKE AF? Start w/ Zero Make $250 a day online (DO THIS)","","+533","Curiosity – This title starts by asking a question to build curiosity, then finishes by opening a loop to build even more. Negativity – “Broke AF” is a big pain point many people in this creator’s audience have. Desire – This creator’s audience would love to make $250 a day online. Beginner Tips – If you’re a beginner starting from zero, you feel like this video was made for you."
"21 Ways You Are Hurting Your Cat Without Realizing","","+566","List – Lists make a video more tangible (you know exactly what the video is about) and build curiosity. Negativity – Nobody wants to accidentally hurt their cat, so they watch this video to avoid doing that. Curiosity – Lists about negative things build lots of curiosity because you ask yourself, “Am I doing any of these?” and you’ve gotta watch to find out."
"WARNING: Bad News For Amazon Sellers","","+944","Negativity – Warnings work really well to get our attention and get us to click. Authority – Jeff Bezos’ shiny bald head is easily recognizable and quickly gets the audience’s attention."
"Asking YOUNG Millionaires How to be Successful","","+1430","Desire – Everyone in this creator’s audience wants to know how to be successful Authority – This creator is asking authority figures (young millionaires) how they did it. Curiosity – You really want to see what these young millionaires say, so you’ve gotta watch this video."
"THIS Simple Trick Makes Your Bathroom & Toilet SMELL AMAZING!","","+1634","Desire – This creator’s audience (and probably — hopefully — most people) would like to have their bathroom and toilet smell good. This title also promises a lot (an amazing-smelling bathroom) for a little (a simple trick). Curiosity – This title opens a loop by telling you there’s a simple trick to make your bathroom and toilet smell amazing, but not what that simple trick is."
"10 Mixing Tips That Changed My Life","","+445","List – Lists make it easy to understand what the video is about and builds curiosity. Desire – “Changed my life” is a strong desire that many people have."
"HOW TO APPLY FOUNDATION FOR BEGINNERS | NINA UBHI","","+643","Beginner Tips – Beginners are the biggest, hungriest subset of any audience. Desire – A big portion of this creator’s audience wants to learn how to apply foundation perfectly."
"I no longer VLOOKUP(), I use this other function instead…","","+886","Negativity – This video is about stopping using a common function. Curiosity – Since VLOOKUP is a common and useful function, it’s counterintuitive to stop using it. Plus, this title opens up a loop at the end by not telling you what the other function is."
"8 Mind-Blowing Websites You Probably Didn’t Know Existed","","+6956","List – Have I told you lists make it easy to understand what the video is about and build curiosity? Curiosity – Describing these websites as “mind-blowing” and that “you probably didn’t know existed” builds curiosity."
"Will The Housing Market Crash By The End of The Year? – What banks don’t want you to know","","+447","Curiosity – This title starts off building curiosity with a question, and then at the end opens a loop with the phrase, “What banks don’t want you to know.” Negativity – This video is about the housing market crash and about what banks don’t want you to know… lots of fear and conspiracy in there. Timeliness – This video does particularly well because the housing market crash is a hot topic right now. Time Frame – By limiting the scope of this video to just the end of the year, it makes it more tangible and even gives some urgency for you to watch it. Authority – Banks are an authority in this space, and this title makes them an enemy, which makes you want to watch it even more."
"Unlocking Lightroom’s Darkest Editing Secret!","","+523","Curiosity – Unlocking a secret builds a ton of curiosity, plus there’s contrast between Lightroom and darkest secret. Negativity – “Lightroom’s Darkest Secret” has a lot of drama and conspiracy vibes. Beginner tips – The thumbnail mentions beginners."
"Everything I Spend Money On For My 7-Figure Blog | Blogging Expenses","","+863","Curiosity – You feel like you’re getting in on a secret because you’re learning about where she spends her money, which can be a taboo subject. Desire – This creator’s audience would love to have a 7-figure blog."
"Voice Typing Changes Everything – So much more than Dictation!","","+1181","Curiosity – “Changes everything” opens a loop and makes you wonder how does it change everything and what changes. New Opportunity – New technology is exciting because it promises something different. We don’t have any previous bad experiences with it, so there’s a lot of hope."
"3 Major Ways To Earn Over $100,000 Per Month In Jamaica To Supplement Your 9-5 Income || ANNA NOVIA","","+400","Too good to be true – This video is not only about a desire everybody wants, but it’s about a desire that sounds almost too good to be true (another example coming later in this edition). List – People love clicking on list videos. Specific audience – If you live in Jamaica, you might feel like this video was made specifically for you, so you’re more likely to click and watch."
